['523', 'Armitage', '1', '20210504 16:36:34']
['507', 'Washington/Wells', '5', '20210504 16:37:24']
['512', 'Main', '5', '20210504 16:36:43']
['523', 'Armitage', '1', '20210504 16:37:33']
['509', 'Clark/Lake', '5', '20210504 16:38:39']
['512', 'South Boulevard', '5', '20210504 16:38:37']
['514', 'Davis', '5', '20210504 16:38:37']
['517', 'Armitage', '5', '20210504 16:38:27']
['518', 'Noyes', '1', '20210504 16:38:10']
['521', 'Sheridan', '5', '20210504 16:37:52']
['522', 'Wilson', '1', '20210504 16:38:36']
['507', 'Merchandise Mart', '1', '20210504 16:39:18']
['509', 'State/Lake', '5', '20210504 16:39:25']
