['504', 'South Boulevard', '1', '20210510 07:20:26']
['508', 'Chicago', '1', '20210510 07:20:35']
['509', 'State/Lake', '5', '20210510 07:20:18']
['503', 'Davis', '5', '20210510 07:20:48']
['504', 'Main', '1', '20210510 07:20:57']
['511', 'Belmont', '5', '20210510 07:21:28']
['509', 'Adams/Wabash', '5', '20210510 07:22:35']
['511', 'Wellington', '5', '20210510 07:22:34']
['504', 'Dempster', '1', '20210510 07:23:29']
['506', 'Wilson', '1', '20210510 07:23:19']
['508', 'Sedgwick', '1', '20210510 07:23:37']
['509', 'Adams/Wabash', '5', '20210510 07:23:12']
['510', 'Sedgwick', '5', '20210510 07:23:39']
['511', 'Diversey', '5', '20210510 07:23:26']
['513', 'Central', '5', '20210510 07:23:28']
['503', 'Main', '5', '20210510 07:23:52']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:24:32']
['511', 'Diversey', '5', '20210510 07:24:21']
['512', 'Wilson', '5', '20210510 07:24:39']
['513', 'Central', '5', '20210510 07:24:17']
['503', 'South Boulevard', '5', '20210510 07:25:13']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:25:34']
['511', 'Fullerton', '5', '20210510 07:25:37']
['503', 'Howard', '5', '20210510 07:26:25']
['504', 'Foster', '1', '20210510 07:26:25']
['508', 'Armitage', '1', '20210510 07:26:27']
['509', 'LaSalle/Van Buren', '5', '20210510 07:26:24']
['510', 'Chicago', '5', '20210510 07:26:40']
['513', 'Davis', '5', '20210510 07:26:27']
['503', 'Howard', '5', '20210510 07:27:30']
['504', 'Noyes', '1', '20210510 07:26:54']
['508', 'Armitage', '1', '20210510 07:27:28']
['509', 'Quincy', '5', '20210510 07:27:29']
['510', 'Chicago', '5', '20210510 07:27:29']
['511', 'Armitage', '5', '20210510 07:27:34']
['512', 'Sheridan', '5', '20210510 07:27:04']
['513', 'Davis', '5', '20210510 07:27:30']
['509', 'Quincy', '5', '20210510 07:28:33']
['513', 'Davis', '5', '20210510 07:28:13']
['508', 'Fullerton', '1', '20210510 07:29:27']
['509', 'Washington/Wells', '5', '20210510 07:29:36']
['510', 'Merchandise Mart', '5', '20210510 07:29:13']
['504', 'Linden', '1', '20210510 07:30:33']
['512', 'Belmont', '5', '20210510 07:30:34']
['504', 'Linden', '1', '20210510 07:31:30']
['508', 'Diversey', '1', '20210510 07:31:23']
['511', 'Sedgwick', '5', '20210510 07:31:36']
['512', 'Wellington', '5', '20210510 07:31:07']
['513', 'Main', '5', '20210510 07:31:07']
['508', 'Wellington', '1', '20210510 07:32:09']
['509', 'Merchandise Mart', '1', '20210510 07:32:13']
['512', 'Diversey', '5', '20210510 07:32:31']
['513', 'South Boulevard', '5', '20210510 07:32:33']
['508', 'Wellington', '1', '20210510 07:33:23']
['512', 'Diversey', '5', '20210510 07:33:18']
['513', 'Howard', '5', '20210510 07:33:38']
['503', 'Wilson', '5', '20210510 07:34:33']
['506', 'South Boulevard', '1', '20210510 07:34:17']
['509', 'Chicago', '1', '20210510 07:34:24']
['510', 'Clark/Lake', '5', '20210510 07:34:29']
['511', 'Chicago', '5', '20210510 07:34:40']
['512', 'Fullerton', '5', '20210510 07:34:35']
['513', 'Howard', '5', '20210510 07:33:38']
['514', 'Central', '5', '20210510 07:34:39']
['503', 'Wilson', '5', '20210510 07:35:34']
['506', 'Main', '1', '20210510 07:34:50']
['510', 'State/Lake', '5', '20210510 07:35:39']
['514', 'Central', '5', '20210510 07:35:32']
['510', 'Washington/Wabash', '5', '20210510 07:36:36']
['511', 'Merchandise Mart', '5', '20210510 07:36:38']
['512', 'Armitage', '5', '20210510 07:36:36']
['503', 'Sheridan', '5', '20210510 07:37:34']
['506', 'Dempster', '1', '20210510 07:37:28']
['509', 'Sedgwick', '1', '20210510 07:37:37']
['510', 'Adams/Wabash', '5', '20210510 07:37:30']
['503', 'Sheridan', '5', '20210510 07:37:42']
['514', 'Davis', '5', '20210510 07:38:36']
['510', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:39:36']
['512', 'Sedgwick', '5', '20210510 07:39:26']
['514', 'Davis', '5', '20210510 07:39:35']
['506', 'Foster', '1', '20210510 07:40:22']
['508', 'Wilson', '1', '20210510 07:40:31']
['510', 'LaSalle/Van Buren', '5', '20210510 07:40:04']
['511', 'Clark/Lake', '5', '20210510 07:40:20']
['514', 'Davis', '5', '20210510 07:40:36']
['503', 'Belmont', '5', '20210510 07:41:36']
['504', 'Central', '5', '20210510 07:41:13']
['506', 'Noyes', '1', '20210510 07:40:48']
