['522', 'Davis', '5', '20210505 19:31:20']
['518', 'Dempster', '1', '20210505 19:32:10']
['521', 'Diversey', '1', '20210505 19:33:30']
['522', 'Main', '5', '20210505 19:33:12']
['522', 'South Boulevard', '5', '20210505 19:34:34']
['521', 'Wellington', '1', '20210505 19:35:28']
['522', 'South Boulevard', '5', '20210505 19:35:05']
['518', 'Noyes', '1', '20210505 19:36:04']
['522', 'Howard', '5', '20210505 19:35:49']
['523', 'Central', '5', '20210505 19:36:53']
['518', 'Linden', '1', '20210505 19:39:33']
['518', 'Linden', '1', '20210505 19:40:30']
['523', 'Davis', '5', '20210505 19:40:24']
['523', 'Davis', '5', '20210505 19:41:04']
['521', 'Wilson', '1', '20210505 19:42:28']
['523', 'Davis', '5', '20210505 19:41:48']
['523', 'Main', '5', '20210505 19:44:37']
['523', 'Main', '5', '20210505 19:44:50']
['517', 'South Boulevard', '1', '20210505 19:46:34']
['523', 'South Boulevard', '5', '20210505 19:46:15']
['517', 'Main', '1', '20210505 19:46:45']
['523', 'Howard', '5', '20210505 19:47:30']
['517', 'Dempster', '1', '20210505 19:48:19']
['523', 'Howard', '5', '20210505 19:48:39']
['517', 'Dempster', '1', '20210505 19:49:19']
['518', 'Central', '5', '20210505 19:50:22']
['518', 'Central', '5', '20210505 19:51:05']
['518', 'Davis', '5', '20210505 19:53:23']
['517', 'Noyes', '1', '20210505 19:54:04']
['518', 'Davis', '5', '20210505 19:54:35']
['518', 'Davis', '5', '20210505 19:55:09']
['521', 'South Boulevard', '1', '20210505 19:55:35']
['518', 'Davis', '5', '20210505 19:56:19']
['521', 'Main', '1', '20210505 19:56:06']
['521', 'Dempster', '1', '20210505 19:57:26']
