['509', 'Sedgwick', '5', '20210506 16:27:15']
['512', 'Central', '5', '20210506 16:27:11']
['517', 'Sheridan', '5', '20210506 16:27:30']
['518', 'South Boulevard', '1', '20210506 16:26:03']
['519', 'Linden', '1', '20210506 16:27:36']
['506', 'Fullerton', '1', '20210506 16:28:30']
['507', 'State/Lake', '5', '20210506 16:27:58']
['512', 'Central', '5', '20210506 16:28:04']
['518', 'South Boulevard', '1', '20210506 16:26:03']
['517', 'Belmont', '5', '20210506 16:29:29']
['518', 'South Boulevard', '1', '20210506 16:26:03']
['506', 'Diversey', '1', '20210506 16:30:26']
['507', 'Adams/Wabash', '5', '20210506 16:30:37']
['508', 'Sedgwick', '1', '20210506 16:30:33']
['509', 'Chicago', '5', '20210506 16:30:36']
['512', 'Davis', '5', '20210506 16:30:21']
['517', 'Belmont', '5', '20210506 16:30:39']
['518', 'Main', '1', '20210506 16:30:38']
['521', 'Wilson', '5', '20210506 16:30:30']
['508', 'Sedgwick', '1', '20210506 16:31:31']
['509', 'Merchandise Mart', '5', '20210506 16:31:19']
['512', 'Davis', '5', '20210506 16:31:23']
['517', 'Wellington', '5', '20210506 16:31:03']
['518', 'Main', '1', '20210506 16:31:36']
['521', 'Wilson', '5', '20210506 16:31:29']
['506', 'Wellington', '1', '20210506 16:32:22']
['507', 'Harold Washington Library-State/Van Buren', '5', '20210506 16:32:37']
['509', 'Merchandise Mart', '5', '20210506 16:31:19']
['512', 'Davis', '5', '20210506 16:32:08']
['517', 'Diversey', '5', '20210506 16:32:39']
['518', 'Dempster', '1', '20210506 16:31:59']
['506', 'Belmont', '1', '20210506 16:33:11']
['507', 'LaSalle/Van Buren', '5', '20210506 16:33:11']
['509', 'Merchandise Mart', '5', '20210506 16:33:26']
['512', 'Dempster', '5', '20210506 16:33:40']
['517', 'Diversey', '5', '20210506 16:33:34']
['518', 'Davis', '1', '20210506 16:33:19']
['521', 'Sheridan', '5', '20210506 16:33:29']
['507', 'Quincy', '5', '20210506 16:34:39']
['512', 'Dempster', '5', '20210506 16:33:40']
['513', 'Wilson', '5', '20210506 16:34:34']
['517', 'Fullerton', '5', '20210506 16:34:13']
['521', 'Sheridan', '5', '20210506 16:33:29']
['507', 'Washington/Wells', '5', '20210506 16:35:32']
['508', 'Armitage', '1', '20210506 16:35:29']
['512', 'Main', '5', '20210506 16:35:10']
['512', 'South Boulevard', '5', '20210506 16:36:36']
['517', 'Armitage', '5', '20210506 16:36:33']
