['508', 'Wilson', '0', '5', '20210514 06:39:36']
['509', 'Davis', '1', '5', '20210514 06:38:34']
['501', 'Armitage', '0', '1', '20210514 06:41:28']
['502', 'Davis', '0', '1', '20210514 06:40:14']
['503', 'Howard', '0', '1', '20210514 06:47:17']
['504', 'Washington/Wells', '1', '5', '20210514 06:39:35']
['506', 'Sedgwick', '0', '5', '20210514 06:40:36']
['508', 'Wilson', '1', '5', '20210514 06:39:33']
['509', 'Davis', '1', '5', '20210514 06:39:37']
['501', 'Armitage', '0', '1', '20210514 06:41:33']
['502', 'Foster', '0', '1', '20210514 06:41:07']
['503', 'Howard', '0', '1', '20210514 06:46:24']
['504', 'Merchandise Mart', '1', '1', '20210514 06:40:25']
['506', 'Sedgwick', '0', '5', '20210514 06:41:20']
['508', 'Sheridan', '0', '5', '20210514 06:42:12']
['509', 'Dempster', '1', '5', '20210514 06:39:57']
['501', 'Armitage', '0', '1', '20210514 06:42:25']
['502', 'Foster', '1', '1', '20210514 06:41:27']
['503', 'Howard', '0', '1', '20210514 06:46:16']
['504', 'Merchandise Mart', '1', '1', '20210514 06:41:09']
['506', 'Sedgwick', '1', '5', '20210514 06:41:15']
['508', 'Sheridan', '1', '5', '20210514 06:41:35']
['509', 'Main', '1', '5', '20210514 06:41:23']
['501', 'Armitage', '1', '1', '20210514 06:42:31']
['502', 'Noyes', '1', '1', '20210514 06:41:52']
['503', 'Howard', '0', '1', '20210514 06:46:28']
['504', 'Chicago', '0', '1', '20210514 06:43:08']
['506', 'Chicago', '0', '5', '20210514 06:44:39']
['508', 'Sheridan', '1', '5', '20210514 06:41:44']
['509', 'Main', '1', '5', '20210514 06:42:21']
['501', 'Fullerton', '0', '1', '20210514 06:44:09']
['502', 'Central', '0', '1', '20210514 06:43:57']
['503', 'Howard', '0', '1', '20210514 06:45:31']
['504', 'Chicago', '1', '1', '20210514 06:43:19']
['506', 'Chicago', '0', '5', '20210514 06:44:37']
['508', 'Belmont', '0', '5', '20210514 06:45:25']
['509', 'South Boulevard', '1', '5', '20210514 06:43:13']
['501', 'Fullerton', '1', '1', '20210514 06:44:28']
