['513', 'South Boulevard', '0', '1', '20210514 15:40:28']
['515', 'Fullerton', '0', '1', '20210514 15:39:04']
['518', 'Clark/Lake', '0', '5', '20210514 15:38:53']
['519', 'Merchandise Mart', '0', '1', '20210514 15:39:39']
['520', 'Diversey', '1', '5', '20210514 15:38:37']
['522', 'Wilson', '0', '5', '20210514 15:42:26']
['523', 'Dempster', '0', '5', '20210514 15:39:31']
['513', 'South Boulevard', '0', '1', '20210514 15:40:28']
['515', 'Fullerton', '1', '1', '20210514 15:39:29']
['518', 'Clark/Lake', '1', '5', '20210514 15:39:06']
['519', 'Merchandise Mart', '1', '1', '20210514 15:38:57']
['520', 'Fullerton', '0', '5', '20210514 15:40:36']
['522', 'Wilson', '0', '5', '20210514 15:40:35']
['523', 'Dempster', '0', '5', '20210514 15:39:31']
['513', 'South Boulevard', '0', '1', '20210514 15:40:28']
['515', 'Diversey', '0', '1', '20210514 15:40:54']
['518', 'State/Lake', '1', '5', '20210514 15:40:30']
['519', 'Chicago', '0', '1', '20210514 15:41:05']
['520', 'Fullerton', '1', '5', '20210514 15:40:38']
