'503', 'Merchandise Mart', '5', '20210423 07:53:34'
'509', 'Clark/Lake', '5', '20210423 07:53:35'
'503', 'Merchandise Mart', '5', '20210423 07:54:20'
'508', 'Chicago', '1', '20210423 07:54:26'
'509', 'State/Lake', '5', '20210423 07:54:09'
'504', 'Davis', '1', '20210423 07:55:32'
'508', 'Chicago', '1', '20210423 07:55:38'
'503', 'Clark/Lake', '5', '20210423 07:56:02'
'509', 'Adams/Wabash', '5', '20210423 07:56:39'
'514', 'Central', '5', '20210423 07:56:30'
'503', 'Clark/Lake', '5', '20210423 07:56:02'
'504', 'Noyes', '1', '20210423 07:57:23'
'509', 'Adams/Wabash', '5', '20210423 07:57:35'
'512', 'Belmont', '5', '20210423 07:57:38'
'503', 'Clark/Lake', '5', '20210423 07:58:38'
'508', 'Sedgwick', '1', '20210423 07:58:39'
'509', 'Harold Washington Library-State/Van Buren', '5', '20210423 07:58:31'
'512', 'Belmont', '5', '20210423 07:58:39'
'503', 'State/Lake', '5', '20210423 07:59:39'
'504', 'Central', '1', '20210423 07:59:36'
'508', 'Sedgwick', '1', '20210423 07:59:34'
'509', 'LaSalle/Van Buren', '5', '20210423 07:59:39'
'512', 'Wellington', '5', '20210423 07:59:38'
'514', 'Davis', '5', '20210423 07:59:36'
'503', 'State/Lake', '5', '20210423 08:00:34'
'504', 'Linden', '1', '20210423 07:59:43'
'507', 'South Boulevard', '1', '20210423 08:00:33'
'509', 'Quincy', '5', '20210423 08:00:39'
'512', 'Wellington', '5', '20210423 08:00:37'
'514', 'Davis', '5', '20210423 08:00:32'
'502', 'Wilson', '5', '20210423 08:01:37'
'503', 'Washington/Wabash', '5', '20210423 08:01:32'
'504', 'Linden', '1', '20210423 08:01:00'
'507', 'Main', '1', '20210423 08:01:06'
'509', 'Quincy', '5', '20210423 08:01:30'
'512', 'Diversey', '5', '20210423 08:01:29'
'514', 'Davis', '5', '20210423 08:00:32'
'503', 'Adams/Wabash', '5', '20210423 08:02:37'
'509', 'Washington/Wells', '5', '20210423 08:02:12'
'512', 'Fullerton', '5', '20210423 08:02:38'
'514', 'Dempster', '5', '20210423 08:01:58'
'503', 'Adams/Wabash', '5', '20210423 08:03:38'
'507', 'Dempster', '1', '20210423 08:03:26'
'508', 'Armitage', '1', '20210423 08:03:36'
'512', 'Fullerton', '5', '20210423 08:03:36'
'503', 'Harold Washington Library-State/Van Buren', '5', '20210423 08:04:30'
'508', 'Armitage', '1', '20210423 08:04:32'
'514', 'Main', '5', '20210423 08:04:31'
'503', 'LaSalle/Van Buren', '5', '20210423 08:05:21'
'509', 'Merchandise Mart', '1', '20210423 08:05:23'
'512', 'Armitage', '5', '20210423 08:05:28'
'514', 'South Boulevard', '5', '20210423 08:05:22'
'503', 'Quincy', '5', '20210423 08:06:14'
'507', 'Noyes', '1', '20210423 08:06:37'
'508', 'Fullerton', '1', '20210423 08:06:19'
'514', 'Howard', '5', '20210423 08:06:06'
'502', 'Belmont', '5', '20210423 08:07:27'
'503', 'Washington/Wells', '5', '20210423 08:07:30'
'509', 'Chicago', '1', '20210423 08:07:16'
'502', 'Belmont', '5', '20210423 08:07:41'
'506', 'Central', '5', '20210423 08:08:03'
'507', 'Central', '1', '20210423 08:08:24'
'508', 'Diversey', '1', '20210423 08:08:14'
'512', 'Sedgwick', '5', '20210423 08:08:18'
